,id,precio,fecha,ranking_capitalizacion,capitalizacion,volumen
0,binancecoin,21.638793754026278,2020-03,4,35622497554,681796876.3133693
1,bitcoin,9148.951550799655,2020-03,1,557103711850,79912549709.91785
2,cardano,0.05177271095159722,2020-03,8,9686430803,346583292.797104
3,dogecoin,0.002513873278566158,2020-03,9,9554176830,228594049.60039374
4,ethereum,247.26265185077042,2020-03,2,216197790822,27497055007.243298
5,litecoin,63.65790750693298,2020-03,14,5545620744,7568938424.979956
6,matic-network,0.02864055280193719,2020-03,13,5780981967,111422886.63151057
7,ripple,0.24514849247203563,2020-03,5,31073814267,5182316342.5818815
8,tether,1.0511992240671417,2020-03,3,82905090159,98054225640.5949
9,tron,0.01835984098543019,2020-03,11,6673197591,1902961387.0967252
10,usd-coin,1.0601983741721746,2020-03,6,26037403420,1528803817.0725543
