,id,precio,fecha,ranking_capitalizacion,capitalizacion,volumen
0,binancecoin,0.17349123907271635,2017-09,4,35509897530,305.1864817562295
1,bitcoin,4632.46233076675,2017-09,1,556736444864,3308099534.339308
2,dogecoin,0.0021959142002271385,2017-09,9,9565753332,17553884.132377766
3,ethereum,349.92924044114534,2017-09,2,216053033969,1617179859.467345
4,litecoin,80.32849214856066,2017-09,14,5544255283,1285348362.1400738
5,ripple,0.228848,2017-09,5,31239515496,325019000.0
6,tether,1.02,2017-09,3,82928599792,545294000.0
