,id,precio,fecha,ranking_capitalizacion,capitalizacion,volumen
0,binancecoin,46.99604610960923,2021-01,4,35594731243,14517295937.954416
1,bitcoin,41880.654263595134,2021-01,1,556276120774,409771446824.42444
2,cardano,0.3906260989144466,2021-01,8,9675231452,6146191822.400815
3,dogecoin,0.07075463177531012,2021-01,9,9536843834,40427833851.26328
4,ethereum,1453.8849549989552,2021-01,2,216009509054,712857767207.2767
5,litecoin,185.58077132701303,2021-01,14,5541169787,71197518063.36465
6,matic-network,0.0473207486273026,2021-01,13,5773058267,244335880.88268992
7,polkadot,18.91011852815164,2021-01,12,5997819712,7300621909.304918
8,ripple,0.4320637438737175,2021-01,5,31111294582,20101185852.642933
9,shiba-inu,7.593160555205207e-09,2021-01,15,5413540788,12201832.492878467
10,solana,4.231946378099262,2021-01,10,9459903542,310341995.2121118
11,staked-ether,1455.627440516047,2021-01,7,14638563395,442577.97055314423
12,tether,1.0170098946878054,2021-01,3,82915911994,222894013120.45248
13,tron,0.04171898134323891,2021-01,11,6676283694,6447283732.486383
14,usd-coin,1.0178718456004352,2021-01,6,26046212373,24180785513.40333
