,id,precio,fecha,ranking_capitalizacion,capitalizacion,volumen
0,binancecoin,34.428592973430135,2019-07,4,35615253517,737423044.8211426
1,bitcoin,13042.680500214312,2019-07,1,557536651458,59011195060.415886
2,cardano,0.08539678171496405,2019-07,8,9697834830,530320925.1236952
3,dogecoin,0.00443625054718144,2019-07,9,9559609609,337975101.5595626
4,ethereum,316.9614225743709,2019-07,2,216295278292,15378959415.363882
5,litecoin,125.92102798900339,2019-07,14,5552928819,13515997516.116434
6,matic-network,0.023768994688987466,2019-07,13,5788499729,71895687.11450554
7,ripple,0.41467613218751836,2019-07,5,31028405043,3873139150.6569633
8,tether,1.0167254050202978,2019-07,3,82894495631,272071704318.0488
9,tron,0.035581885119049986,2019-07,11,6672513919,1517466587.1732345
10,usd-coin,1.0140388879332234,2019-07,6,26061873788,10262649418.752365
