,id,precio,fecha,ranking_capitalizacion,capitalizacion,volumen
0,binancecoin,18.12977775235027,2020-06,4,35591407981,321150305.7667101
1,bitcoin,10167.93069332851,2020-06,1,556383670181,43125077639.42983
2,cardano,0.08879956874162276,2020-06,8,9675700078,996207989.7666614
3,dogecoin,0.0027022699275434546,2020-06,9,9540423874,149543561.61528525
4,ethereum,252.1712320385204,2020-06,2,216012089754,13892781887.175848
5,litecoin,49.642144741701166,2020-06,14,5537417580,3171805773.0710993
6,matic-network,0.022934731682196206,2020-06,13,5776167970,97032814.48311342
7,ripple,0.2137686720170078,2020-06,5,31118611531,1920303076.2404113
8,solana,0.8899802533812959,2020-06,10,9445900187,7231800.029438946
9,tether,1.0096938470961936,2020-06,3,82924174463,48146405122.81921
10,tron,0.018554229404121495,2020-06,11,6673512482,1795444249.0243917
11,usd-coin,1.0096661425781002,2020-06,6,26045414856,419209870.6552997
