,id,precio,fecha,ranking_capitalizacion,capitalizacion,volumen
0,binancecoin,17.318810742158185,2019-03,4,35577448801,375985848.0993443
1,bitcoin,4123.8165936008445,2019-03,1,557364293813,19683482185.339138
2,cardano,0.07235733194946292,2019-03,8,9694596846,245714469.7228309
3,dogecoin,0.0021054936992037907,2019-03,9,9550135484,97799786.59069431
4,ethereum,145.12046978952603,2019-03,2,216164795431,7932945146.403727
5,litecoin,61.57582825773725,2019-03,14,5559299098,3062765734.9067135
6,ripple,0.3222519703652554,2019-03,5,31074062885,1557924154.6170099
7,tether,1.0066427399067814,2019-03,3,82865212417,35070479400.907555
8,tron,0.024243407354451553,2019-03,11,6671564662,355925147.8969218
9,usd-coin,1.0095317363846528,2019-03,6,26067588508,4770937966.007095
