,id,precio,fecha,ranking_capitalizacion,capitalizacion,volumen
0,binancecoin,11.687949238560707,2018-02,4,35593044731,89254053.91346844
1,bitcoin,11502.3770496396,2018-02,1,557332219343,9152685412.95559
2,cardano,0.448042724772298,2018-02,8,9735122025,165611115.0587108
3,dogecoin,0.007339724008793393,2018-02,9,9586155872,64338065.9319321
4,ethereum,1021.2693786534147,2018-02,2,216198212781,5021975963.611412
5,litecoin,238.10229455235316,2018-02,14,5567261630,2094692583.2497776
6,ripple,1.21041,2018-02,5,31257357491,4747340000.0
7,tether,1.01792,2018-02,3,82919564972,6266930000.0
8,tron,0.05452501188733992,2018-02,11,6672711601,374516736.7348964
