,id,precio,fecha,ranking_capitalizacion,capitalizacion,volumen
0,binancecoin,20.85874798373867,2019-10,4,35622050297,357317501.2297168
1,bitcoin,10047.624014553556,2019-10,1,557487405555,61882457084.57739
2,cardano,0.04397871007173242,2019-10,8,9693657568,209038911.7752097
3,dogecoin,0.0028659550833418173,2019-10,9,9561873470,132154727.76458217
4,ethereum,196.00120627200863,2019-10,2,216300305781,22153353721.833603
5,litecoin,62.16960409606303,2019-10,14,5552198552,5316389303.384929
6,matic-network,0.017542769259817743,2019-10,13,5786288660,74154255.17053522
7,ripple,0.3095082923981054,2019-10,5,31013236830,3968645799.7188873
8,tether,1.0152228728015562,2019-10,3,82894495631,67663025997.16179
9,tron,0.022429791599177917,2019-10,11,6670799304,2356749986.642482
10,usd-coin,1.0038102620057383,2019-10,6,26057611608,487999854.5617833
