,id,precio,fecha,ranking_capitalizacion,capitalizacion,volumen
0,binancecoin,21.672927323610626,2019-11,4,35622050297,323455381.4765038
1,bitcoin,9430.403057047204,2019-11,1,557487405555,59147763580.97997
2,cardano,0.045708838720480725,2019-11,8,9693657568,155863454.17132407
3,dogecoin,0.0027794371793077037,2019-11,9,9561873470,107223026.98106718
4,ethereum,193.0731309248641,2019-11,2,216300305781,17556115439.989822
5,litecoin,64.54360553196082,2019-11,14,5552198552,4265285131.895136
6,matic-network,0.025501520616665888,2019-11,13,5786288660,96762389.59301616
7,ripple,0.31050810991801536,2019-11,5,31013236830,3005796368.421091
8,tether,1.0072475780314205,2019-11,3,82896079480,86753717542.27168
9,tron,0.02046540177184251,2019-11,11,6670799304,2054921307.6240332
10,usd-coin,1.0119752561672488,2019-11,6,26057611608,341161160.41947174
