,id,precio,fecha,ranking_capitalizacion,capitalizacion,volumen
0,binancecoin,505.9134095584377,2021-09,4,35532268630,4596111522.177055
1,bitcoin,52774.412756442776,2021-09,1,556013242648,77366556563.79541
2,cardano,3.0869110613280446,2021-09,8,9692632392,10930821855.625519
3,dogecoin,0.31736636812810787,2021-09,9,9551718598,5239989668.546991
4,ethereum,3972.9403244857303,2021-09,2,215899077311,47065831979.17778
5,litecoin,230.6613969959844,2021-09,14,5547635550,8996788103.470144
6,matic-network,1.776342068669964,2021-09,13,5778114074,3034002459.1042643
7,polkadot,38.02897802214125,2021-09,12,6006607279,6331329499.566958
8,ripple,1.4064725826157798,2021-09,5,31120504651,11791383084.850155
9,shiba-inu,9.29277901676105e-06,2021-09,15,5412777834,2608420615.697825
10,solana,211.4378485597674,2021-09,10,9457695569,16149087501.300968
11,staked-ether,3960.461803758943,2021-09,7,14637536022,104980659.94610831
12,tether,1.022361257786453,2021-09,3,82910207652,143058762501.41397
13,tron,0.12169794461659308,2021-09,11,6681032875,4411763944.889232
14,usd-coin,1.0181134878072993,2021-09,6,26051604825,6045624613.589538
