,id,precio,fecha,ranking_capitalizacion,capitalizacion,volumen
0,binancecoin,338.48069322315695,2021-02,4,35558222947,22103516567.70705
1,bitcoin,58341.08047396216,2021-02,1,556276120774,124657005338.8475
2,cardano,1.4536828896964502,2021-02,8,9675231452,19419650884.697536
3,dogecoin,0.08200091574117614,2021-02,9,9534132635,15036688646.24223
4,ethereum,2038.475094230664,2021-02,2,216009509054,66319095082.34236
5,litecoin,244.60732757787594,2021-02,14,5535039101,12881998044.021458
6,matic-network,0.22555733855555943,2021-02,13,5768288120,970657419.8090394
7,polkadot,41.59151310284809,2021-02,12,6000856406,6644764926.893428
8,ripple,0.7111554067976609,2021-02,5,31111294582,29112157624.476196
9,shiba-inu,3.55098701857314e-08,2021-02,15,5413540788,42597119.64366708
10,solana,17.655094147820815,2021-02,10,9455199130,1416532187.9498806
11,staked-ether,1986.7434619043008,2021-02,7,14638563395,1320435.5636402979
12,tether,1.028480582632649,2021-02,3,82915911994,206326130155.47382
13,tron,0.06250848758938361,2021-02,11,6676283694,4156675838.2083445
14,usd-coin,1.0180036698148414,2021-02,6,26046212373,6640806567.257618
