,id,precio,fecha,ranking_capitalizacion,capitalizacion,volumen
0,binancecoin,39.37645143344606,2019-06,4,35577448801,812449794.6130972
1,bitcoin,13892.998967652324,2019-06,1,557364293813,82385219885.58475
2,cardano,0.10661117907632661,2019-06,8,9694596846,687912114.8676722
3,dogecoin,0.0036169656109725366,2019-06,9,9550135484,216718961.889637
4,ethereum,359.0216151726497,2019-06,2,216164795431,21499045079.738102
5,litecoin,143.24761968041605,2019-06,14,5552928819,9553708006.92483
6,matic-network,0.027513072782604543,2019-06,13,5790063286,121273034.61565143
7,ripple,0.4976329615436119,2019-06,5,31074062885,5443067961.2283
8,tether,1.0091124313108621,2019-06,3,82918630738,63295133898.5887
9,tron,0.04044615192321781,2019-06,11,6671564662,2027805639.8613372
10,usd-coin,1.0226117811028057,2019-06,6,26067588508,4909976979.060587
