,id,precio,fecha,ranking_capitalizacion,capitalizacion,volumen
0,binancecoin,10.693378622680163,2018-10,4,35576681972,52066522.42767257
1,bitcoin,7083.015350832717,2018-10,1,557005748829,6210600665.250381
2,cardano,0.08768609146569598,2018-10,8,9700102061,88986039.31191741
3,dogecoin,0.006027048573566523,2018-10,9,9559653503,105308028.4099687
4,ethereum,233.7407712921965,2018-10,2,216090063973,3020634939.364894
5,litecoin,61.76583902580393,2018-10,14,5557105592,802687101.1961529
6,ripple,0.5975467716674767,2018-10,5,31120826419,1437175507.2261791
7,tether,1.0035493711000734,2018-10,3,82923630542,265278198.63172296
8,tron,0.02764204508551414,2018-10,11,6671990729,436463476.54196244
9,usd-coin,1.1115735850678234,2018-10,6,26060841159,1940882.747789186
