,id,precio,fecha,ranking_capitalizacion,capitalizacion,volumen
0,binancecoin,31.48990625201905,2019-08,4,35615253517,390789598.81259066
1,bitcoin,12177.562768550319,2019-08,1,557536651458,54514342854.4249
2,cardano,0.05994260592327643,2019-08,8,9697834830,377026523.3867472
3,dogecoin,0.003095600645969329,2019-08,9,9559609609,74000600.79988426
4,ethereum,234.07668427567708,2019-08,2,216295278292,12840065669.595514
5,litecoin,102.00078471892625,2019-08,14,5552928819,7150318493.768704
6,matic-network,0.01994658145030888,2019-08,13,5788499729,143729234.33566955
7,ripple,0.32759614708900237,2019-08,5,31028405043,2895983603.640341
8,tether,1.006308683347072,2019-08,3,82894495631,199423640523.8859
9,tron,0.023286062695797836,2019-08,11,6672513919,770912070.4246184
10,usd-coin,1.0134742001252042,2019-08,6,26061873788,12556897699.980495
