,id,precio,fecha,ranking_capitalizacion,capitalizacion,volumen
0,binancecoin,14.407070092844874,2018-08,4,35576681972,96404859.8167131
1,bitcoin,7701.189379141824,2018-08,1,557005748829,12140914790.748276
2,cardano,0.1433881341067918,2018-08,8,9700102061,172217354.7508124
3,dogecoin,0.003443688273712592,2018-08,9,9559653503,49099404.66073871
4,ethereum,426.3790770965291,2018-08,2,216248925643,5863901510.473671
5,litecoin,78.47289398319981,2018-08,14,5557105592,781422831.7761673
6,ripple,0.45547832610705047,2018-08,5,31120826419,611583736.9048194
7,tether,1.1572943864697842,2018-08,3,82933060919,247867056.88801262
8,tron,0.0337240242178056,2018-08,11,6671990729,220074522.45957682
