,id,precio,fecha,ranking_capitalizacion,capitalizacion,volumen
0,binancecoin,23.834300684252327,2020-08,4,35586997266,432043714.2201698
1,bitcoin,12391.495514936742,2020-08,1,556383670181,52689471118.10859
2,cardano,0.14902245976892792,2020-08,8,9675907234,868923368.4016666
3,dogecoin,0.0037133838830904387,2020-08,9,9538992239,203115217.48533762
4,ethereum,442.09473098860445,2020-08,2,216007297144,20440304679.458817
5,litecoin,68.17148946034452,2020-08,14,5539500261,4080720277.944429
6,matic-network,0.03179402900042386,2020-08,13,5778318067,62234771.234688625
7,polkadot,6.6635386022432055,2020-08,12,5992548526,1120698606.8818166
8,ripple,0.32526985735825314,2020-08,5,31121555708,4994587515.924001
9,shiba-inu,1.4920286634476486e-09,2020-08,15,5419004001,3501406.4325007494
10,solana,4.577427198403138,2020-08,10,9465510412,40109815.87894283
11,tether,1.0056996074595868,2020-08,3,82924174463,42474584088.94842
12,tron,0.03244873373441779,2020-08,11,6676014009,1443673154.754186
13,usd-coin,1.003801208181203,2020-08,6,26045414856,666933704.7352078
