,id,precio,fecha,ranking_capitalizacion,capitalizacion,volumen
0,binancecoin,608.46801940346,2021-04,4,35558222947,17333719929.93555
1,bitcoin,64594.9938985327,2021-04,1,555913287649,112371802303.04677
2,cardano,1.5277963640768313,2021-04,8,9671882397,8921639129.28845
3,dogecoin,0.4182244542662762,2021-04,9,9534132635,70772770653.19597
4,ethereum,2793.226257461288,2021-04,2,215804540934,78687071669.05067
5,litecoin,331.1959192243398,2021-04,14,5535039101,17202747799.34266
6,matic-network,0.9211390738656882,2021-04,13,5768288120,5892427463.688362
7,polkadot,47.348546984272964,2021-04,12,6000856406,5096803023.592369
8,ripple,1.924783787563186,2021-04,5,31097622460,31268950151.855198
9,shiba-inu,4.027722203148573e-06,2021-04,15,5409167234,775495389.3965963
10,solana,47.87882422012877,2021-04,10,9455199130,2795573126.579459
11,staked-ether,2798.602503986718,2021-04,7,14629082308,1551719.8263087173
12,tether,1.016315377265846,2021-04,3,82913059501,232907007122.55783
13,tron,0.17671091202520806,2021-04,11,6683734963,13819312083.09632
14,usd-coin,1.0101680772910402,2021-04,6,26038038013,4345734683.868751
