,id,precio,fecha,ranking_capitalizacion,capitalizacion,volumen
0,binancecoin,15.448139762196021,2018-05,4,35594621093,223791296.1781502
1,bitcoin,9766.24448548887,2018-05,1,557293481478,3726075355.3037004
2,cardano,0.371949748180423,2018-05,8,9703880594,380935416.10300475
3,dogecoin,0.005437026052824832,2018-05,9,9570634976,48592343.92105166
4,ethereum,807.0673291637275,2018-05,2,216248925643,2808727749.1170845
5,litecoin,176.70588609455913,2018-05,14,5560929330,659826539.83395
6,ripple,0.9041918053424821,2018-05,5,31159527172,973087673.3602813
7,tether,1.0239439329625994,2018-05,3,82911006952,5989591.3936879365
8,tron,0.09249037781037228,2018-05,11,6664436601,1056291425.5836424
