,id,precio,fecha,ranking_capitalizacion,capitalizacion,volumen
0,binancecoin,6.482528505614958,2018-12,4,35590426340,59723341.28966864
1,bitcoin,4280.7492074600505,2018-12,1,557132804755,6648962171.518408
2,cardano,0.04837739191670282,2018-12,8,9692072847,135245582.86631468
3,dogecoin,0.002732771113116317,2018-12,9,9558538744,74086984.16695826
4,ethereum,152.2462583430807,2018-12,2,216148112960,4206012610.2483163
5,litecoin,36.06923982278019,2018-12,14,5556848495,806515889.4406528
6,ripple,0.4396267319372656,2018-12,5,31073468467,2053296300.1465342
7,tether,1.0354823881530641,2018-12,3,82865212417,248007505.65534642
8,tron,0.023019412893102803,2018-12,11,6667760498,331268308.84403086
9,usd-coin,1.0476747340069679,2018-12,6,26033546658,319829033.84766954
