,id,precio,fecha,ranking_capitalizacion,capitalizacion,volumen
0,binancecoin,647.9688975446553,2021-12,4,35526343000,4616511450.302826
1,bitcoin,58612.92011647459,2021-12,1,556198646739,63172964174.979996
2,cardano,1.7416376093846413,2021-12,8,9692632392,3904049275.9513125
3,dogecoin,0.21973888801285096,2021-12,9,9551718598,6266508627.001731
4,ethereum,4770.314003309329,2021-12,2,215867156856,47507513442.98515
5,litecoin,216.2372710213062,2021-12,14,5547635550,5400568090.416539
6,matic-network,2.9047505061817316,2021-12,13,5778114074,4947342884.451114
7,polkadot,38.20582502251973,2021-12,12,6006607279,2691883572.125824
8,ripple,1.0156369494927344,2021-12,5,31134566160,6329989300.501793
9,shiba-inu,4.767584105545088e-05,2021-12,15,5412777834,9082599454.709917
10,solana,241.6915223397125,2021-12,10,9467020385,6509911233.710796
11,staked-ether,4705.735380352924,2021-12,7,14630479508,102176148.137769
12,tether,1.0141483328834533,2021-12,3,82888039545,126516572226.99953
13,tron,0.10132008765976129,2021-12,11,6680489274,2791756016.7598553
14,usd-coin,1.0129358005158156,2021-12,6,26055037253,8965109547.03066
