,id,precio,fecha,ranking_capitalizacion,capitalizacion,volumen
0,binancecoin,26.97533332250713,2020-02,4,35622497554,676112658.6928856
1,bitcoin,10439.094564491887,2020-02,1,557103711850,81719527610.19424
2,cardano,0.07069086426784642,2020-02,8,9686430803,359219393.41704637
3,dogecoin,0.0034430934449391965,2020-02,9,9554176830,178529231.88048422
4,ethereum,284.76355079289476,2020-02,2,216197790822,47878820924.06838
5,litecoin,83.55706723761288,2020-02,14,5545620744,7301446535.174563
6,matic-network,0.024835966073300554,2020-02,13,5780981967,86059589.4487627
7,ripple,0.3374135778264663,2020-02,5,31073814267,6673091758.611099
8,tether,1.0078254804216547,2020-02,3,82905090159,106181852762.99893
9,tron,0.02655018704207639,2020-02,11,6673197591,2845490187.5875254
10,usd-coin,1.004730385111366,2020-02,6,26037403420,1812353670.3838007
