,id,precio,fecha,ranking_capitalizacion,capitalizacion,volumen
0,binancecoin,2.034664110158284,2017-11,4,35527570423,14477217.1639228
1,bitcoin,10406.18772373,2017-11,1,556871419865,10258439067.6534
2,cardano,0.124064710988949,2017-11,8,9731049029,341785540.016436
3,dogecoin,0.00239266131289028,2017-11,9,9577655192,26135197.3679918
4,ethereum,484.362624150733,2017-11,2,216198212781,1864835257.85043
5,litecoin,97.4689888557752,2017-11,14,5549861908,589885845.280048
6,ripple,0.298582,2017-11,5,31257357491,1003870000.0
7,tether,1.01913,2017-11,3,82919564972,1663310000.0
8,tron,0.0024153601045655,2017-11,11,6702182266,5544747.84531279
