,id,precio,fecha,ranking_capitalizacion,capitalizacion,volumen
0,binancecoin,13.235912458917268,2018-03,4,35593044731,236705492.4991811
1,bitcoin,11526.4209302906,2018-03,1,557332219343,5476476288.950579
2,cardano,0.2998293451647896,2018-03,8,9735122025,333093443.50647795
3,dogecoin,0.006127747629346411,2018-03,9,9586155872,15311091.152732689
4,ethereum,855.6787797305122,2018-03,2,216338892045,2515158736.529607
5,litecoin,209.13154326128938,2018-03,14,5567261630,882705421.5462221
6,ripple,1.01533,2018-03,5,31247617569,1754140000.0
7,tether,1.00929,2018-03,3,82911006952,3065810000.0
8,tron,0.05340764031494659,2018-03,11,6672711601,693362872.5110286
