,id,precio,fecha,ranking_capitalizacion,capitalizacion,volumen
0,binancecoin,24.369904809962087,2018-01,4,35527570423,635785335.0515877
1,bitcoin,18343.6624934071,2018-01,1,556871419865,10225958520.621689
2,cardano,1.1793470150411156,2018-01,8,9731049029,672172539.6566188
3,dogecoin,0.01758609267957335,2018-01,9,9577655192,247655386.6106324
4,ethereum,1448.1800861342022,2018-01,2,216198212781,5901388488.269492
5,litecoin,289.9300333581779,2018-01,14,5549861908,1487931536.6484613
6,ripple,3.39845,2018-01,5,31257357491,9205920000.0
7,tether,1.03035,2018-01,3,82919564972,5611060000.0
8,tron,0.23167275596197776,2018-01,11,6702182266,3915550001.347465
