,id,precio,fecha,ranking_capitalizacion,capitalizacion,volumen
0,binancecoin,34.802646271121034,2020-11,4,35594731243,1109502090.5850081
1,bitcoin,19315.000211744744,2020-11,1,556276120774,59553273220.84878
2,cardano,0.17818316301386578,2020-11,8,9675231452,2128186432.3354654
3,dogecoin,0.004182895100896334,2020-11,9,9536843834,274581788.8320504
4,ethereum,618.8303221573194,2020-11,2,216007297144,26171006875.44223
5,litecoin,91.84047263556565,2020-11,14,5541169787,12074942666.925037
6,matic-network,0.023337891800713422,2020-11,13,5773058267,35364648.31950436
7,polkadot,6.007363472116047,2020-11,12,5997819712,635551409.3109403
8,ripple,0.7299971810862754,2020-11,5,31121555708,26698268904.588223
9,shiba-inu,7.857458533778944e-11,2020-11,15,5413540788,1805.7348973853393
10,solana,2.445705941035453,2020-11,10,9459903542,69505254.93434788
11,tether,1.009653001566506,2020-11,3,82889314025,83674366594.8762
12,tron,0.03677816786775876,2020-11,11,6676283694,2782539479.490719
13,usd-coin,1.0063421328932813,2020-11,6,26041666908,1674577974.663389
