,id,precio,fecha,ranking_capitalizacion,capitalizacion,volumen
0,binancecoin,517.0633139835965,2021-08,4,35532268630,4284763200.3997254
1,bitcoin,50311.81812626523,2021-08,1,556013242648,46903982000.337326
2,cardano,2.9503662758438205,2021-08,8,9680026571,10070091406.713808
3,dogecoin,0.34784474625118916,2021-08,9,9543971452,7378010960.306938
4,ethereum,3346.2069387887,2021-08,2,215899077311,41205615038.14736
5,litecoin,189.85166249664397,2021-08,14,5544015649,3354134500.8303447
6,matic-network,1.68766297182592,2021-08,13,5775277620,2380171428.386113
7,polkadot,29.184771123872935,2021-08,12,6009945943,2927539191.243576
8,ripple,1.336570404504913,2021-08,5,31120504651,14366915019.12201
9,shiba-inu,9.394270965417056e-06,2021-08,15,5404994276,1120284539.0697565
10,solana,114.29596428238699,2021-08,10,9457695569,5095756320.22233
11,staked-ether,3349.3045777040124,2021-08,7,14637536022,101533782.20079698
12,tether,1.0108380345700714,2021-08,3,82910207652,82401882441.58757
13,tron,0.09502018893783448,2021-08,11,6681032875,2925048755.682135
14,usd-coin,1.0176370119148952,2021-08,6,26051604825,3754593635.420782
