,id,precio,fecha,ranking_capitalizacion,capitalizacion,volumen
0,binancecoin,38.78249514356571,2020-12,4,35594731243,1192460810.9443102
1,bitcoin,29191.57079791895,2020-12,1,556276120774,225169813638.96805
2,cardano,0.1942120770345573,2020-12,8,9675231452,2527470209.31944
3,dogecoin,0.0052463582034355085,2020-12,9,9536843834,682476115.1038064
4,ethereum,755.9832271476032,2020-12,2,216009509054,943136362955.857
5,litecoin,136.91394965214778,2020-12,14,5541169787,23360881785.70829
6,matic-network,0.021021157863206807,2020-12,13,5773058267,26315408.070120227
7,polkadot,7.59019349274243,2020-12,12,5997819712,1607408418.4441197
8,ripple,0.6703340538743056,2020-12,5,31111294582,31866239428.500706
9,shiba-inu,7.856127770632698e-11,2020-12,15,5413540788,341.47560629933236
10,solana,2.2090879626570774,2020-12,10,9459903542,35186125.89224068
11,staked-ether,738.7136214433816,2020-12,7,14638563395,154860.09885386546
12,tether,1.0126321256382091,2020-12,3,82915911994,96516356006.85155
13,tron,0.03375305074609216,2020-12,11,6676283694,3363930522.950122
14,usd-coin,1.0217484079650228,2020-12,6,26046212373,15516009134.439701
