,id,precio,fecha,ranking_capitalizacion,capitalizacion,volumen
0,binancecoin,538.1510831697792,2021-10,4,35526343000,5500671070.156285
1,bitcoin,67118.89194557608,2021-10,1,556198646739,53692795090.35915
2,cardano,2.340862347918084,2021-10,8,9692632392,4642998782.998669
3,dogecoin,0.3327134750204489,2021-10,9,9551718598,18590556305.181652
4,ethereum,4467.574000926822,2021-10,2,215867156856,51604842740.359825
5,litecoin,211.11351060701932,2021-10,14,5547635550,3866077697.865488
6,matic-network,2.1849839594803853,2021-10,13,5778114074,4453202394.500873
7,polkadot,46.1695630162585,2021-10,12,6006607279,5438538828.590175
8,ripple,1.2197168064631208,2021-10,5,31134566160,7570236276.901777
9,shiba-inu,8.61240812795819e-05,2021-10,15,5412777834,43571216422.98748
10,solana,218.6390813510772,2021-10,10,9467020385,7805769488.133823
11,staked-ether,4409.373592041612,2021-10,7,14630479508,66241209.002375916
12,tether,1.0220898714375928,2021-10,3,82888039545,122207600464.11557
13,tron,0.10587973826483661,2021-10,11,6680489274,2887777911.206701
14,usd-coin,1.0099517166125758,2021-10,6,26055037253,5496210661.089273
