,id,precio,fecha,ranking_capitalizacion,capitalizacion,volumen
0,binancecoin,17.24666160108517,2018-06,4,35594621093,154563036.52381667
1,bitcoin,7672.89248327851,2018-06,1,557293481478,5281417110.5751095
2,cardano,0.23468852240274513,2018-06,8,9703880594,207206353.91648605
3,dogecoin,0.003841689891238128,2018-06,9,9570634976,27810258.513960883
4,ethereum,615.5896376860638,2018-06,2,216248925643,4948602297.466697
5,litecoin,125.735913827438,2018-06,14,5560929330,462395704.5663252
6,ripple,0.7023666248869402,2018-06,5,31159527172,530546406.80956393
7,tether,1.0084165197489616,2018-06,3,82933060919,3243798.5216922127
8,tron,0.06295537232747042,2018-06,11,6664436601,474150628.8923124
