,id,precio,fecha,ranking_capitalizacion,capitalizacion,volumen
0,binancecoin,17.916075478929415,2020-05,4,35591407981,497464227.38467115
1,bitcoin,10008.091136069423,2020-05,1,556383670181,65113288889.51519
2,cardano,0.07550433280027014,2020-05,8,9675700078,624509152.9436555
3,dogecoin,0.0026858477156863495,2020-05,9,9540423874,280963896.884949
4,ethereum,245.7704994364065,2020-05,2,216012089754,22370374797.99845
5,litecoin,49.73099071166004,2020-05,14,5537417580,4898531218.981793
6,matic-network,0.026820921549471275,2020-05,13,5776167970,138371947.1601521
7,ripple,0.22511256065755303,2020-05,5,31118611531,3103142250.3097596
8,solana,0.7347579920121671,2020-05,10,9445900187,4743797.547709279
9,tether,1.0120186584335595,2020-05,3,82924174463,81152224497.22124
10,tron,0.016496970782336497,2020-05,11,6673512482,1922296086.1267674
11,usd-coin,1.0090462687123405,2020-05,6,26045414856,596019545.2885123
