,id,precio,fecha,ranking_capitalizacion,capitalizacion,volumen
0,binancecoin,35.369713921858235,2019-05,4,35577448801,815810523.3244684
1,bitcoin,8860.309983692607,2019-05,1,557364293813,39970291775.46867
2,cardano,0.10015260077462332,2019-05,8,9694596846,531353648.15955174
3,dogecoin,0.0036775220675685444,2019-05,9,9550135484,198521790.96125296
4,ethereum,285.8816085025646,2019-05,2,216164795431,22426402512.99784
5,litecoin,118.62361225773279,2019-05,14,5559299098,8677387858.498775
6,matic-network,0.044740023175883804,2019-05,13,5790063286,704861510.7788173
7,ripple,0.473119625920416,2019-05,5,31074062885,7594970584.966569
8,tether,1.0087418654713036,2019-05,3,82918630738,190703951559.9265
9,tron,0.03613130982498585,2019-05,11,6671564662,1829032798.2552986
10,usd-coin,1.0224117278032694,2019-05,6,26067588508,2599411784.767056
