,id,precio,fecha,ranking_capitalizacion,capitalizacion,volumen
0,binancecoin,15.241439470736335,2018-04,4,35593044731,143003680.59745717
1,bitcoin,9716.48975733072,2018-04,1,557332219343,5523433548.358508
2,cardano,0.36305017713798343,2018-04,8,9735122025,698342753.8536612
3,dogecoin,0.0058392189104752475,2018-04,9,9586155872,35679865.03876638
4,ethereum,705.0276448443027,2018-04,2,216338892045,2772144667.1931686
5,litecoin,165.08342868690187,2018-04,14,5560929330,572297202.2979146
6,ripple,0.9401980864874295,2018-04,5,31247617569,2237130819.12422
7,tether,1.00329,2018-04,3,82911006952,1829520000.0
8,tron,0.08879232546105843,2018-04,11,6672711601,2167971115.238894
