,id,precio,fecha,ranking_capitalizacion,capitalizacion,volumen
0,binancecoin,11.174117766149328,2019-02,4,35590426340,178877571.35289833
1,bitcoin,4170.5806231303695,2019-02,1,557132804755,13049870553.09643
2,cardano,0.04971918739676828,2019-02,8,9692072847,82702530.52881028
3,dogecoin,0.0021189671038882177,2019-02,9,9558538744,43664927.48419525
4,ethereum,164.40787314658516,2019-02,2,216148112960,7537629702.561232
5,litecoin,52.45503212869437,2019-02,14,5559299098,2379837074.105137
6,ripple,0.341063049658615,2019-02,5,31073468467,1497421777.623544
7,tether,1.0336729425077462,2019-02,3,82865212417,14854340037.967865
8,tron,0.027385672281152698,2019-02,11,6667760498,348587907.6177454
9,usd-coin,1.0625391833823918,2019-02,6,26033546658,805174932.3518404
