,id,precio,fecha,ranking_capitalizacion,capitalizacion,volumen
0,binancecoin,15.7760109102733,2019-12,4,35622050297,277367163.7305544
1,bitcoin,7585.278153349563,2019-12,1,557487405555,60286247960.34421
2,cardano,0.03990423773244703,2019-12,8,9693657568,148036606.08043697
3,dogecoin,0.0023008615956791405,2019-12,9,9561873470,74171987.23811772
4,ethereum,151.26907467549202,2019-12,2,216300305781,36625090284.50704
5,litecoin,47.844918654001965,2019-12,14,5552198552,3416337532.1713524
6,matic-network,0.04232780809371578,2019-12,13,5786288660,352903582.0085948
7,ripple,0.23085766294508117,2019-12,5,31013236830,2127425250.3770812
8,tether,1.0094772216130092,2019-12,3,82896079480,41705928905.8341
9,tron,0.015992981535823517,2019-12,11,6670799304,1408226311.587455
10,usd-coin,1.0067419702347908,2019-12,6,26057611608,472645911.77212006
