,id,precio,fecha,ranking_capitalizacion,capitalizacion,volumen
0,binancecoin,32.199121952604386,2020-10,4,35586997266,573473374.0954834
1,bitcoin,13806.246929028044,2020-10,1,556264773331,30621522076.135906
2,cardano,0.11373631300669157,2020-10,8,9675907234,644234437.5523357
3,dogecoin,0.002861303996961644,2020-10,9,9538992239,145168360.22643897
4,ethereum,417.75123329395063,2020-10,2,216007297144,15029432179.704138
5,litecoin,60.12997513160788,2020-10,14,5539500261,3177926155.7175055
6,matic-network,0.020240074823159513,2020-10,13,5778318067,24548543.886056494
7,polkadot,4.864207629219572,2020-10,12,5992548526,393022302.8348565
8,ripple,0.2628387037775912,2020-10,5,31121555708,2039012245.9333436
9,shiba-inu,2.0707997123415742e-10,2020-10,15,5419004001,14679.004063721488
10,solana,2.978787825855529,2020-10,10,9465510412,28379481.662470337
11,tether,1.007102131364675,2020-10,3,82889314025,36326747599.19391
12,tron,0.028765524958899585,2020-10,11,6676014009,1122028693.6347187
13,usd-coin,1.0078317933807992,2020-10,6,26041666908,4962063863.395723
